frame_id,x1,y1,x2,y2,confidence,class_id,class_name
303,505,53,656,184,0.5149300694465637,74,clock
303,335,241,419,376,0.2773849368095398,74,clock
304,684,0,795,104,0.6513823866844177,74,clock
304,509,50,659,184,0.44149237871170044,74,clock
305,511,48,662,176,0.7979332804679871,74,clock
305,687,1,795,102,0.40328678488731384,74,clock
306,513,45,663,180,0.5320766568183899,74,clock
307,688,0,798,104,0.26069945096969604,74,clock
308,523,37,663,171,0.5710371732711792,74,clock
308,691,0,801,90,0.31669390201568604,74,clock
310,529,32,670,166,0.7102327346801758,74,clock
311,532,28,671,163,0.32944467663764954,74,clock
312,406,168,483,300,0.39417564868927,74,clock
312,537,26,673,162,0.37819918990135193,74,clock
315,547,15,678,135,0.6486894488334656,74,clock
317,447,136,515,262,0.653131902217865,74,clock
317,552,11,685,134,0.5669308304786682,74,clock
326,1195,615,1223,716,0.3598940372467041,0,person
329,1055,81,1215,221,0.5929048657417297,2,car
332,490,489,766,714,0.25922900438308716,6,train
333,491,466,776,714,0.37278011441230774,6,train
335,0,396,264,713,0.2595118582248688,13,bench
336,1045,50,1199,172,0.2731572687625885,2,car
337,0,381,307,715,0.5257359743118286,31,snowboard
338,0,363,297,663,0.47893577814102173,31,snowboard
338,94,371,294,642,0.46939846873283386,31,snowboard
339,0,359,303,703,0.45941856503486633,31,snowboard
339,516,394,784,713,0.3269352912902832,28,suitcase
340,0,354,314,653,0.7741577625274658,31,snowboard
341,0,348,331,691,0.45986035466194153,31,snowboard
342,534,364,780,697,0.3165408968925476,67,cell phone
342,0,341,346,659,0.2802819013595581,31,snowboard
343,543,348,787,660,0.2955719232559204,8,boat
343,152,339,332,592,0.28586864471435547,36,skateboard
343,194,338,335,631,0.2551293969154358,36,skateboard
344,145,333,341,572,0.2668403387069702,36,skateboard
345,555,334,791,631,0.2642155885696411,67,cell phone
348,571,303,794,570,0.291650652885437,2,car
349,574,295,794,560,0.45121312141418457,5,bus
350,578,289,798,552,0.49474072456359863,5,bus
351,1099,250,1279,478,0.3760201036930084,7,truck
351,581,281,803,546,0.28636473417282104,8,boat
352,1097,235,1279,461,0.38121598958969116,7,truck
352,587,274,805,523,0.34787437319755554,5,bus
353,593,261,806,509,0.4788769483566284,5,bus
354,598,254,804,507,0.42406225204467773,5,bus
354,93,264,363,471,0.28685086965560913,8,boat
355,101,256,380,476,0.32778680324554443,31,snowboard
355,602,248,806,481,0.3193874955177307,8,boat
355,600,247,806,476,0.2806822657585144,5,bus
356,605,242,807,477,0.44683390855789185,5,bus
356,605,240,806,477,0.30937841534614563,6,train
357,607,235,805,462,0.3930650055408478,8,boat
357,607,235,805,462,0.2775140702724457,5,bus
358,614,224,805,442,0.4453999400138855,5,bus
359,616,534,716,719,0.8618482947349548,10,fire hydrant
359,616,219,806,438,0.3456863462924957,8,boat
359,616,219,807,438,0.31411653757095337,5,bus
360,620,211,805,435,0.3648774325847626,6,train
360,621,521,720,707,0.27127164602279663,10,fire hydrant
361,625,504,723,718,0.6421377062797546,0,person
361,623,209,806,415,0.3338814377784729,7,truck
362,625,203,804,414,0.2548152804374695,5,bus
